BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AS OF FINAL ROLL 18/19,BLOCK,LOT,BUILDING CLASS AS OF FINAL ROLL 18/19,ADDRESS,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE,AREA,FINAL_ADDRESS,lat,lng,num_cafe_1000_meters,num_cafe_500_meters,num_tourist_attraction_1000_meters
3,FLATBUSH-LEFFERTS GARDEN,01 ONE FAMILY DWELLINGS,1,5050,2,S0,625 ROGERS AVENUE,11225.0,1.0,2.0,3.0,3700.0,2128.0,1905.0,1,S0,1925000,2019-02-05,brooklyn,625 ROGERS AVENUE NYC,40.6563206,-73.95285859999998,20,8,2
4,HOWARD BEACH,01 ONE FAMILY DWELLINGS,1,14069,139,A1,85-11 164TH AVENUE,11414.0,1.0,0.0,1.0,4000.0,2192.0,1965.0,1,A1,730000,2019-07-02,queens,85-11 164TH AVENUE NYC,40.650046,-73.8447489,2,0,1
4,BAYSIDE,02 TWO FAMILY DWELLINGS,1,5952,20,B2,215-29 23RD ROAD,11360.0,2.0,0.0,2.0,3232.0,3078.0,1970.0,1,B2,800000,2019-07-05,queens,215-29 23RD ROAD NYC,40.78284499999999,-73.774405,3,2,1
2,WAKEFIELD,02 TWO FAMILY DWELLINGS,1,5009,1,B3,1800 BUSSING AVENUE,10466.0,2.0,0.0,2.0,2505.0,2193.0,1930.0,1,B3,310000,2019-06-14,bronx,1800 BUSSING AVENUE NYC,40.8940516,-73.84870450000003,5,1,0
4,ASTORIA,03 THREE FAMILY DWELLINGS,1,759,10,C0,22-45 47TH STREET,11105.0,3.0,0.0,3.0,3000.0,2740.0,1965.0,1,C0,1425000,2019-04-04,queens,22-45 47TH STREET NYC,40.768648,-73.902715,20,4,2
3,DYKER HEIGHTS,02 TWO FAMILY DWELLINGS,1,6320,63,B1,1137 85TH STREET,11228.0,2.0,0.0,2.0,4000.0,2117.0,1970.0,1,B1,1500000,2019-04-01,brooklyn,1137 85TH STREET NYC,40.6168978,-74.0165396,8,1,1
4,HOLLISWOOD,01 ONE FAMILY DWELLINGS,1,7271,54,A1,81-15 189TH STREET,11423.0,1.0,0.0,1.0,4000.0,1680.0,1940.0,1,A1,990000,2019-01-28,queens,81-15 189TH STREET NYC,40.72729400000001,-73.77890699999998,6,2,2
4,RIDGEWOOD,02 TWO FAMILY DWELLINGS,1,3493,52,B1,62-76 60TH PLACE,11385.0,2.0,0.0,2.0,2175.0,2160.0,1901.0,1,B1,1145000,2019-10-25,queens,62-76 60TH PLACE NYC,40.711533,-73.90346,14,4,4
5,BULLS HEAD,02 TWO FAMILY DWELLINGS,1,1621,43,B2,49 KINGSBRIDGE AVENUE,10314.0,2.0,0.0,2.0,2450.0,1326.0,1981.0,1,B2,598000,2019-05-17,statenisland,49 KINGSBRIDGE AVENUE NYC,40.6169384,-74.1650532,2,0,2
3,FLATBUSH-EAST,01 ONE FAMILY DWELLINGS,1,7744,39,A9,957 EAST 40TH STREET,11210.0,1.0,0.0,1.0,1800.0,1372.0,1910.0,1,A9,500000,2019-05-17,brooklyn,957 EAST 40TH STREET NYC,40.6318683,-73.93771579999998,9,0,2
4,ST. ALBANS,01 ONE FAMILY DWELLINGS,1,11082,72,A5,209-15 116TH ROAD,11411.0,1.0,0.0,1.0,1796.0,1224.0,1950.0,1,A5,350000,2019-01-10,queens,209-15 116TH ROAD NYC,40.697381,-73.743537,2,2,0
5,NEW SPRINGVILLE,01 ONE FAMILY DWELLINGS,1,2440,42,A5,78 MILLSTONE COURT,10314.0,1.0,0.0,1.0,1666.0,1350.0,2000.0,1,A5,499000,2019-05-30,statenisland,78 MILLSTONE COURT NYC,40.5752126,-74.1644598,5,3,0
3,GRAVESEND,01 ONE FAMILY DWELLINGS,1,6647,35,A5,1756 WEST 9TH STREET,11223.0,1.0,0.0,1.0,1700.0,1128.0,1910.0,1,A5,900000,2019-12-27,brooklyn,1756 WEST 9TH STREET NYC,40.60419520000001,-73.98211909999998,18,3,1
3,MILL BASIN,01 ONE FAMILY DWELLINGS,1,8598,48,A2,2732 EAST 66TH STREET,11234.0,1.0,0.0,1.0,4067.0,2792.0,1970.0,1,A2,1225000,2019-10-11,brooklyn,2732 EAST 66TH STREET NYC,40.60568480000001,-73.9119852,2,0,0
4,FLUSHING-SOUTH,01 ONE FAMILY DWELLINGS,1,6959,12,A1,71-47 171ST STREET,11365.0,1.0,0.0,1.0,4139.0,2510.0,1955.0,1,A1,996000,2019-11-25,queens,71-47 171ST STREET NYC,40.729263,-73.798478,6,0,1
3,MANHATTAN BEACH,01 ONE FAMILY DWELLINGS,1,8730,57,A1,28 EXETER STREET,11235.0,1.0,0.0,1.0,3600.0,1342.0,1940.0,1,A1,1385000,2019-11-01,brooklyn,28 EXETER STREET NYC,40.581198,-73.94927679999998,13,2,3
5,HUGUENOT,01 ONE FAMILY DWELLINGS,1,6335,63,A2,633 IONIA AVENUE,10312.0,1.0,0.0,1.0,4000.0,1975.0,1970.0,1,A2,702500,2019-10-18,statenisland,633 IONIA AVENUE NYC,40.538336,-74.19377999999998,1,0,1
4,GLENDALE,01 ONE FAMILY DWELLINGS,1,3685,56,S1,69-31 MYRTLE AVENUE,11385.0,1.0,1.0,2.0,1883.0,1600.0,1915.0,1,S1,650000,2019-09-06,queens,69-31 MYRTLE AVENUE NYC,40.702057,-73.881697,3,3,1
3,WINDSOR TERRACE,14 RENTALS - 4-10 UNIT,2A,5275,53,S3,1235 PROSPECT AVENUE,11218.0,3.0,1.0,4.0,1315.0,3507.0,1931.0,2,S3,1750000,2019-10-31,brooklyn,1235 PROSPECT AVENUE NYC,40.6529516,-73.9758913,13,5,8
2,WESTCHESTER,02 TWO FAMILY DWELLINGS,1,3996,50,B1,2441 BUCK STREET,10461.0,2.0,0.0,2.0,1528.0,1600.0,1920.0,1,B1,350000,2019-07-31,bronx,2441 BUCK STREET NYC,40.8411954,-73.85093459999999,7,0,2
2,SOUNDVIEW,02 TWO FAMILY DWELLINGS,1,3555,45,B1,647 COMMONWEALTH AVENUE,10473.0,2.0,0.0,2.0,2500.0,3620.0,1940.0,1,B1,725000,2019-04-01,bronx,647 COMMONWEALTH AVENUE NYC,40.8181693,-73.8652176,4,1,1
3,DYKER HEIGHTS,02 TWO FAMILY DWELLINGS,1,6268,63,B1,1333 80TH STREET,11228.0,2.0,0.0,2.0,2333.0,1748.0,1930.0,1,B1,1220000,2019-02-13,brooklyn,1333 80TH STREET NYC,40.61703660000001,-74.0093897,9,3,2
4,JACKSON HEIGHTS,03 THREE FAMILY DWELLINGS,1,1166,24,C0,3238 71ST STREET,11370.0,3.0,0.0,3.0,1967.0,2650.0,1965.0,1,C0,500000,2019-12-27,queens,3238 71ST STREET NYC,40.75544,-73.89605499999998,9,1,4
3,FLATBUSH-EAST,03 THREE FAMILY DWELLINGS,1,4764,37,C0,5315 CLARENDON ROAD,11203.0,3.0,0.0,3.0,1740.0,2641.0,1970.0,1,C0,730000,2019-03-27,brooklyn,5315 CLARENDON ROAD NYC,40.644929,-73.92609909999999,7,3,1
4,ROSEDALE,01 ONE FAMILY DWELLINGS,1,13544,34,A1,24126 NEWHALL AVENUE,11422.0,1.0,0.0,1.0,3000.0,1498.0,1920.0,1,A1,410000,2019-05-13,queens,24126 NEWHALL AVENUE NYC,40.65852,-73.741435,1,0,1
4,FLUSHING-NORTH,01 ONE FAMILY DWELLINGS,1,5772,65,A1,169-23 25TH AVENUE,11357.0,1.0,0.0,1.0,4000.0,1399.0,1940.0,1,A1,920000,2019-12-23,queens,169-23 25TH AVENUE NYC,40.774362,-73.794489,5,2,1
5,WEST NEW BRIGHTON,01 ONE FAMILY DWELLINGS,1,231,12,A1,15 MANOR ROAD,10310.0,1.0,0.0,1.0,2800.0,1182.0,1935.0,1,A1,575000,2019-09-19,statenisland,15 MANOR ROAD NYC,40.6278028,-74.1250627,3,0,1
3,BERGEN BEACH,02 TWO FAMILY DWELLINGS,1,8359,20,B9,1239 EAST 72ND STREET,11234.0,2.0,0.0,2.0,2179.0,3191.0,1970.0,1,B9,900000,2019-08-14,brooklyn,1239 EAST 72ND STREET NYC,40.625998,-73.913095,4,1,0
5,PORT RICHMOND,01 ONE FAMILY DWELLINGS,1,1029,3,A1,3 PALMER AVENUE,10302.0,1.0,0.0,1.0,2500.0,1158.0,1940.0,1,A1,410000,2019-05-13,statenisland,3 PALMER AVENUE NYC,40.63080770000001,-74.13171500000001,3,0,1
4,JAMAICA,01 ONE FAMILY DWELLINGS,1,9804,36,A1,170-12 90TH AVENUE,11432.0,1.0,0.0,1.0,2500.0,1704.0,1920.0,1,A1,750000,2019-10-04,queens,170-12 90TH AVENUE NYC,40.708669,-73.79003,10,5,3
3,EAST NEW YORK,02 TWO FAMILY DWELLINGS,1,3983,28,B1,304 ASHFORD ST,11207.0,2.0,0.0,2.0,945.0,1612.0,1901.0,1,B1,667085,2019-07-12,brooklyn,304 ASHFORD ST NYC,40.674987,-73.885605,5,3,0
3,MIDWOOD,03 THREE FAMILY DWELLINGS,1,6715,21,C0,1038 EAST 14TH STREET,11230.0,3.0,0.0,3.0,3333.0,3089.0,1910.0,1,C0,725000,2019-12-12,brooklyn,1038 EAST 14TH STREET NYC,40.6241089,-73.96236390000001,6,3,1
4,COLLEGE POINT,02 TWO FAMILY DWELLINGS,1,4130,46,B2,124-07 20TH AVENUE,11356.0,2.0,0.0,2.0,1157.0,1600.0,1925.0,1,B2,600000,2019-09-13,queens,124-07 20TH AVENUE NYC,40.7818353,-73.8437771,7,5,3
3,FLATBUSH-EAST,02 TWO FAMILY DWELLINGS,1,4771,38,B1,766 EAST 51ST STREET,11203.0,2.0,0.0,2.0,2000.0,2112.0,1930.0,1,B1,625000,2019-09-26,brooklyn,766 EAST 51ST STREET NYC,40.64259970000001,-73.9286319,4,2,2
4,MIDDLE VILLAGE,01 ONE FAMILY DWELLINGS,1,3033,5,A2,73-24 PENELOPE AVENUE,11379.0,1.0,0.0,1.0,3600.0,1304.0,1950.0,1,A2,950000,2019-06-19,queens,73-24 PENELOPE AVENUE NYC,40.7160439,-73.881376,3,1,1
5,ARROCHAR,01 ONE FAMILY DWELLINGS,1,3108,62,A5,167 SAND LANE,10305.0,1.0,0.0,1.0,2000.0,1870.0,2018.0,1,A5,595676,2019-09-04,statenisland,167 SAND LANE NYC,40.5955274,-74.06948679999998,0,0,2
5,MARINERS HARBOR,01 ONE FAMILY DWELLINGS,1,1234,57,A2,308 NETHERLAND AVENUE,10303.0,1.0,0.0,1.0,2575.0,750.0,1925.0,1,A2,349900,2019-05-01,statenisland,308 NETHERLAND AVENUE NYC,40.8831536,-73.91183259999998,15,3,7
4,FOREST HILLS,03 THREE FAMILY DWELLINGS,1,2186,133,C0,65-21 110TH STREET,11375.0,3.0,0.0,3.0,2700.0,2764.0,2017.0,1,C0,1476463,2019-04-11,queens,65-21 110TH STREET NYC,40.7317705,-73.8464042,4,2,2
5,SOUTH BEACH,01 ONE FAMILY DWELLINGS,1,3398,65,A5,323 QUINTARD STREET,10305.0,1.0,0.0,1.0,2500.0,1440.0,1994.0,1,A5,535000,2019-09-30,statenisland,323 QUINTARD STREET NYC,40.5901799,-74.0800158,2,0,3
5,PLEASANT PLAINS,01 ONE FAMILY DWELLINGS,1,6796,10,A5,139B SHARROTT AVENUE,10309.0,1.0,0.0,1.0,2760.0,1400.0,2002.0,1,A5,615000,2019-06-27,statenisland,139B SHARROTT AVENUE NYC,40.52032120000001,-74.212974,1,1,1
2,BAYCHESTER,01 ONE FAMILY DWELLINGS,1,4957,57,A1,3919 MURDOCK AVENUE,10466.0,1.0,0.0,1.0,2500.0,1534.0,1930.0,1,A1,505000,2019-09-05,bronx,3919 MURDOCK AVENUE NYC,40.889275,-73.839721,3,0,1
4,FOREST HILLS,01 ONE FAMILY DWELLINGS,1,3207,40,A1,89-28 69TH ROAD,11375.0,1.0,0.0,1.0,2001.0,1255.0,1930.0,1,A1,750000,2019-01-30,queens,89-28 69TH ROAD NYC,40.711469,-73.85428499999998,7,6,0
4,JAMAICA ESTATES,01 ONE FAMILY DWELLINGS,1,7231,99,A2,180-24 80TH DRIVE,11432.0,1.0,0.0,1.0,3984.0,880.0,1945.0,1,A2,998000,2019-01-03,queens,180-24 80TH DRIVE NYC,40.72538400000001,-73.786601,6,4,1
4,WOODHAVEN,01 ONE FAMILY DWELLINGS,1,9177,116,A1,85-99 98TH STREET,11421.0,1.0,0.0,1.0,2771.0,1344.0,1925.0,1,A1,620000,2019-01-31,queens,85-99 98TH STREET NYC,40.69612,-73.847948,8,4,2
4,FAR ROCKAWAY,02 TWO FAMILY DWELLINGS,1,15793,50,B2,434 BEACH 29TH STREET,11691.0,2.0,0.0,2.0,2786.0,2976.0,2018.0,1,B2,756000,2019-12-30,queens,434 BEACH 29TH STREET NYC,40.5979571,-73.762232,3,0,4
2,BATHGATE,02 TWO FAMILY DWELLINGS,1,3053,5,B9,509 EAST 183RD STREET,10458.0,2.0,0.0,2.0,1420.0,2805.0,1901.0,1,B9,649500,2019-08-23,bronx,509 EAST 183RD STREET NYC,40.8549787,-73.89201609999998,20,8,9
3,CANARSIE,02 TWO FAMILY DWELLINGS,1,8304,10,B1,10101 SEAVIEW AVENUE,11236.0,2.0,0.0,2.0,3176.0,2160.0,1960.0,1,B1,671000,2019-01-07,brooklyn,10101 SEAVIEW AVENUE NYC,40.6360725,-73.88677940000002,2,2,2
5,MARINERS HARBOR,01 ONE FAMILY DWELLINGS,1,1227,44,A5,29 HARBOR ROAD,10303.0,1.0,0.0,1.0,4288.0,1376.0,1965.0,1,A5,325000,2019-06-27,statenisland,29 HARBOR ROAD NYC,40.636238,-74.15987500000001,0,0,2
